Season,Round,Circuit,Driver,Constructor,Laps,Position,TotalPitStops,AvgPitStopTime,PitStops
1950,1,Silverstone Circuit,Nino Farina,Alfa Romeo,70,1,0,,[]
1950,1,Silverstone Circuit,Luigi Fagioli,Alfa Romeo,70,2,0,,[]
1950,1,Silverstone Circuit,Reg Parnell,Alfa Romeo,70,3,0,,[]
1950,1,Silverstone Circuit,Yves Cabantous,Talbot-Lago,68,4,0,,[]
1950,1,Silverstone Circuit,Louis Rosier,Talbot-Lago,68,5,0,,[]
1950,1,Silverstone Circuit,Bob Gerard,ERA,67,6,0,,[]
1950,1,Silverstone Circuit,Cuth Harrison,ERA,67,7,0,,[]
1950,1,Silverstone Circuit,Philippe Ã‰tancelin,Talbot-Lago,65,8,0,,[]
1950,1,Silverstone Circuit,David Hampshire,Maserati,64,9,0,,[]
1950,1,Silverstone Circuit,Brian Shawe Taylor,Maserati,64,10,0,,[]
1950,1,Silverstone Circuit,Joe Fry,Maserati,64,10,0,,[]
1950,1,Silverstone Circuit,Johnny Claes,Talbot-Lago,64,11,0,,[]
1950,1,Silverstone Circuit,Juan Fangio,Alfa Romeo,62,12,0,,[]
1950,1,Silverstone Circuit,Joe Kelly,Alta,57,13,0,,[]
1950,1,Silverstone Circuit,Prince Bira,Maserati,49,14,0,,[]
1950,1,Silverstone Circuit,David Murray,Maserati,44,15,0,,[]
1950,1,Silverstone Circuit,Geoff Crossley,Alta,43,16,0,,[]
1950,1,Silverstone Circuit,Toulo de Graffenried,Maserati,36,17,0,,[]
1950,1,Silverstone Circuit,Louis Chiron,Maserati,26,18,0,,[]
1950,1,Silverstone Circuit,EugÃ¨ne Martin,Talbot-Lago,8,19,0,,[]
1950,1,Silverstone Circuit,Peter Walker,ERA,5,20,0,,[]
1950,1,Silverstone Circuit,Tony Rolt,ERA,5,20,0,,[]
1950,1,Silverstone Circuit,Leslie Johnson,ERA,2,21,0,,[]
1950,2,Circuit de Monaco,Juan Fangio,Alfa Romeo,100,1,0,,[]
1950,2,Circuit de Monaco,Alberto Ascari,Ferrari,99,2,0,,[]
1950,2,Circuit de Monaco,Louis Chiron,Maserati,98,3,0,,[]
1950,2,Circuit de Monaco,Raymond Sommer,Ferrari,97,4,0,,[]
1950,2,Circuit de Monaco,Prince Bira,Maserati,95,5,0,,[]
1950,2,Circuit de Monaco,Bob Gerard,ERA,94,6,0,,[]
1950,2,Circuit de Monaco,Johnny Claes,Talbot-Lago,94,7,0,,[]
1950,2,Circuit de Monaco,Luigi Villoresi,Ferrari,63,8,0,,[]
1950,2,Circuit de Monaco,Philippe Ã‰tancelin,Talbot-Lago,38,9,0,,[]
1950,2,Circuit de Monaco,JosÃ© FroilÃ¡n GonzÃ¡lez,Maserati,1,10,0,,[]
1950,2,Circuit de Monaco,Nino Farina,Alfa Romeo,0,11,0,,[]
1950,2,Circuit de Monaco,Luigi Fagioli,Alfa Romeo,0,12,0,,[]
1950,2,Circuit de Monaco,Louis Rosier,Talbot-Lago,0,13,0,,[]
1950,2,Circuit de Monaco,Robert Manzon,Simca,0,14,0,,[]
1950,2,Circuit de Monaco,Toulo de Graffenried,Maserati,0,15,0,,[]
1950,2,Circuit de Monaco,Maurice Trintignant,Simca,0,16,0,,[]
1950,2,Circuit de Monaco,Cuth Harrison,ERA,0,17,0,,[]
1950,2,Circuit de Monaco,Franco Rol,Maserati,0,18,0,,[]
1950,2,Circuit de Monaco,Harry Schell,Cooper,0,19,0,,[]
1950,2,Circuit de Monaco,Peter Whitehead,Ferrari,0,20,0,,[]
1950,2,Circuit de Monaco,Alfredo PiÃ¡n,Maserati,0,21,0,,[]
1950,3,Indianapolis Motor Speedway,Johnnie Parsons,Kurtis Kraft,138,1,0,,[]
1950,3,Indianapolis Motor Speedway,Bill Holland,Deidt,137,2,0,,[]
1950,3,Indianapolis Motor Speedway,Mauri Rose,Deidt,137,3,0,,[]
1950,3,Indianapolis Motor Speedway,Cecil Green,Kurtis Kraft,137,4,0,,[]
1950,3,Indianapolis Motor Speedway,Joie Chitwood,Kurtis Kraft,136,5,0,,[]
1950,3,Indianapolis Motor Speedway,Tony Bettenhausen,Kurtis Kraft,136,5,0,,[]
1950,3,Indianapolis Motor Speedway,Lee Wallard,Moore,136,6,0,,[]
1950,3,Indianapolis Motor Speedway,Walt Faulkner,Kurtis Kraft,135,7,0,,[]
1950,3,Indianapolis Motor Speedway,George Connor,Lesovsky,135,8,0,,[]
1950,3,Indianapolis Motor Speedway,Paul Russo,Nichels,135,9,0,,[]
1950,3,Indianapolis Motor Speedway,Pat Flaherty,Kurtis Kraft,135,10,0,,[]
1950,3,Indianapolis Motor Speedway,Myron Fohr,Marchese,133,11,0,,[]
1950,3,Indianapolis Motor Speedway,Duane Carter,Stevens,133,12,0,,[]
1950,3,Indianapolis Motor Speedway,Mack Hellings,Kurtis Kraft,132,13,0,,[]
1950,3,Indianapolis Motor Speedway,Jack McGrath,Kurtis Kraft,131,14,0,,[]
1950,3,Indianapolis Motor Speedway,Troy Ruttman,Lesovsky,130,15,0,,[]
1950,3,Indianapolis Motor Speedway,Gene Hartley,Langley,128,16,0,,[]
1950,3,Indianapolis Motor Speedway,Jimmy Davies,Ewing,128,17,0,,[]
1950,3,Indianapolis Motor Speedway,Johnny McDowell,Kurtis Kraft,128,18,0,,[]
1950,3,Indianapolis Motor Speedway,Walt Brown,Kurtis Kraft,127,19,0,,[]
1950,3,Indianapolis Motor Speedway,Travis Webb,Maserati,126,20,0,,[]
1950,3,Indianapolis Motor Speedway,Jerry Hoyt,Kurtis Kraft,125,21,0,,[]
1950,3,Indianapolis Motor Speedway,Walt Ader,Rae,123,22,0,,[]
1950,3,Indianapolis Motor Speedway,Jackie Holmes,Olson,123,23,0,,[]
1950,3,Indianapolis Motor Speedway,Jim Rathmann,Wetteroth,122,24,0,,[]
1950,3,Indianapolis Motor Speedway,Henry Banks,Maserati,112,25,0,,[]
1950,3,Indianapolis Motor Speedway,Bill Schindler,Snowberger,111,26,0,,[]
1950,3,Indianapolis Motor Speedway,Bayliss Levrett,Adams,108,27,0,,[]
1950,3,Indianapolis Motor Speedway,Bill Cantrell,Adams,108,27,0,,[]
1950,3,Indianapolis Motor Speedway,Fred Agabashian,Kurtis Kraft,64,28,0,,[]
1950,3,Indianapolis Motor Speedway,Jimmy Jackson,Kurtis Kraft,52,29,0,,[]
1950,3,Indianapolis Motor Speedway,Sam Hanks,Kurtis Kraft,42,30,0,,[]
1950,3,Indianapolis Motor Speedway,Tony Bettenhausen,Deidt,30,31,0,,[]
1950,3,Indianapolis Motor Speedway,Dick Rathmann,Watson,25,32,0,,[]
1950,3,Indianapolis Motor Speedway,Duke Dinsmore,Kurtis Kraft,10,33,0,,[]
1950,4,Circuit Bremgarten,Nino Farina,Alfa Romeo,42,1,0,,[]
1950,4,Circuit Bremgarten,Luigi Fagioli,Alfa Romeo,42,2,0,,[]
1950,4,Circuit Bremgarten,Louis Rosier,Talbot-Lago,41,3,0,,[]
1950,4,Circuit Bremgarten,Prince Bira,Maserati,40,4,0,,[]
1950,4,Circuit Bremgarten,Felice Bonetto,Maserati,40,5,0,,[]
